Invoice_id,Branch,City,Category,Unit_price,Quantity,Date,Time,Payment_method,Rating,Profit_margin,Total_sales,Profit,Day,Month,Year
20,WALM013,Irving,Home and lifestyle,40.3,2.0,2019-11-03,15:30:00,Ewallet,4.4,0.48,80.6,38.687999999999995,3,11,2019
21,WALM044,Pharr,Electronic accessories,86.04,5.0,2019-02-25,11:24:00,Ewallet,4.8,0.48,430.20000000000005,206.496,25,2,2019
22,WALM088,Cleburne,Health and beauty,87.98,3.0,2019-05-03,10:40:00,Ewallet,5.1,0.33,263.94,87.1002,3,5,2019
23,WALM083,Farmers Branch,Home and lifestyle,33.2,2.0,2019-03-15,12:20:00,Credit card,4.4,0.33,66.4,21.912000000000003,15,3,2019
24,WALM067,Haltom City,Electronic accessories,34.56,5.0,2019-02-17,11:15:00,Ewallet,9.9,0.33,172.8,57.02400000000001,17,2,2019
25,WALM023,Midland,Sports and travel,88.63,3.0,2019-02-03,17:36:00,Ewallet,6.0,0.48,265.89,127.62719999999999,3,2,2019
26,WALM001,Houston,Home and lifestyle,52.59,8.0,2019-03-22,19:20:00,Credit card,8.5,0.36,420.72,151.4592,22,3,2019
27,WALM072,Lancaster,Fashion accessories,33.52,1.0,2019-08-02,15:31:00,Cash,6.7,0.33,33.52,11.061600000000002,2,8,2019
28,WALM046,Temple,Fashion accessories,87.67,2.0,2019-10-03,12:17:00,Credit card,7.7,0.48,175.34,84.1632,3,10,2019
29,WALM012,Garland,Food and beverages,88.36,5.0,2019-01-25,19:48:00,Cash,9.6,0.48,441.8,212.064,25,1,2019
30,WALM075,San Marcos,Health and beauty,24.89,9.0,2019-03-15,15:36:00,Cash,7.4,0.33,224.01,73.9233,15,3,2019
31,WALM076,Huntsville,Fashion accessories,94.13,5.0,2019-02-25,19:39:00,Credit card,4.8,0.33,470.65,155.3145,25,2,2019
32,WALM098,Mineral Wells,Sports and travel,78.07,9.0,2019-01-28,12:43:00,Cash,4.5,0.18,702.6299999999999,126.47339999999997,28,1,2019
33,WALM021,McAllen,Sports and travel,83.78,8.0,2019-10-01,14:49:00,Cash,5.1,0.48,670.24,321.7152,1,10,2019
34,WALM096,Eagle Pass,Health and beauty,96.58,2.0,2019-03-15,10:12:00,Credit card,5.1,0.18,193.16,34.7688,15,3,2019
35,WALM022,Mesquite,Food and beverages,99.42,4.0,2019-06-02,10:42:00,Ewallet,7.5,0.48,397.68,190.8864,2,6,2019
36,WALM095,Big Spring,Sports and travel,68.12,1.0,2019-07-01,12:28:00,Ewallet,6.8,0.33,68.12,22.4796,1,7,2019
37,WALM041,Mission,Sports and travel,62.62,5.0,2019-10-03,19:15:00,Ewallet,7.0,0.48,313.09999999999997,150.28799999999998,3,10,2019
38,WALM070,Hurst,Electronic accessories,60.88,9.0,2019-01-15,17:17:00,Ewallet,4.7,0.33,547.9200000000001,180.81360000000004,15,1,2019
39,WALM070,Hurst,Health and beauty,54.92,8.0,2019-03-23,13:24:00,Ewallet,7.6,0.33,439.36,144.9888,23,3,2019
40,WALM030,Richardson,Home and lifestyle,30.12,8.0,2019-03-03,13:01:00,Cash,7.7,0.48,240.96,115.6608,3,3,2019
41,WALM033,Pearland,Home and lifestyle,86.72,1.0,2019-01-17,18:45:00,Ewallet,7.9,0.48,86.72,41.6256,17,1,2019
42,WALM088,Cleburne,Home and lifestyle,56.11,2.0,2019-02-02,10:11:00,Cash,6.3,0.33,112.22,37.0326,2,2,2019
43,WALM079,La Porte,Sports and travel,69.12,6.0,2019-08-02,13:03:00,Cash,5.6,0.33,414.72,136.85760000000002,2,8,2019
44,WALM042,Bryan,Food and beverages,98.7,8.0,2019-04-03,20:39:00,Cash,7.6,0.48,789.6,379.008,3,4,2019
45,WALM036,Allen,Health and beauty,15.37,2.0,2019-03-16,19:47:00,Cash,7.2,0.48,30.74,14.755199999999999,16,3,2019
46,WALM056,Rowlett,Electronic accessories,93.96,4.0,2019-09-03,18:00:00,Cash,9.5,0.33,375.84,124.0272,3,9,2019
47,WALM058,Port Arthur,Health and beauty,56.69,9.0,2019-02-27,17:24:00,Credit card,8.4,0.33,510.21,168.3693,27,2,2019
48,WALM015,Grand Prairie,Food and beverages,20.01,9.0,2019-06-02,15:47:00,Ewallet,4.1,0.48,180.09,86.4432,2,6,2019
49,WALM063,Georgetown,Electronic accessories,18.93,6.0,2019-10-02,12:45:00,Credit card,8.1,0.33,113.58,37.4814,2,10,2019
50,WALM021,McAllen,Fashion accessories,82.63,10.0,2019-03-19,17:08:00,Ewallet,7.9,0.48,826.3,396.62399999999997,19,3,2019
51,WALM089,Southlake,Food and beverages,91.4,7.0,2019-03-02,10:19:00,Cash,9.5,0.33,639.8000000000001,211.13400000000004,2,3,2019
52,WALM093,Angleton,Food and beverages,44.59,5.0,2019-10-02,15:10:00,Cash,8.5,0.33,222.95000000000002,73.57350000000001,2,10,2019
53,WALM041,Mission,Fashion accessories,17.87,4.0,2019-03-22,14:42:00,Ewallet,6.5,0.48,71.48,34.3104,22,3,2019
54,WALM045,Missouri City,Fashion accessories,15.43,1.0,2019-01-25,15:46:00,Credit card,6.1,0.48,15.43,7.4064,25,1,2019
55,WALM005,Fort Worth,Home and lifestyle,16.16,2.0,2019-07-03,11:49:00,Ewallet,6.5,0.48,32.32,15.5136,3,7,2019
56,WALM042,Bryan,Electronic accessories,85.98,8.0,2019-02-28,19:01:00,Cash,8.2,0.48,687.84,330.1632,28,2,2019
57,WALM003,San Antonio,Home and lifestyle,44.34,2.0,2019-03-27,11:26:00,Cash,5.8,0.36,88.68,31.9248,27,3,2019
58,WALM070,Hurst,Health and beauty,89.6,8.0,2019-07-02,11:28:00,Ewallet,6.6,0.33,716.8,236.54399999999998,2,7,2019
59,WALM066,Grapevine,Home and lifestyle,72.35,10.0,2019-01-20,15:55:00,Cash,5.4,0.33,723.5,238.75500000000002,20,1,2019
60,WALM031,Lewisville,Electronic accessories,30.61,6.0,2019-12-03,20:36:00,Cash,9.3,0.48,183.66,88.15679999999999,3,12,2019
61,WALM042,Bryan,Sports and travel,24.74,3.0,2019-02-15,17:47:00,Credit card,10.0,0.48,74.22,35.6256,15,2,2019
62,WALM078,Del Rio,Home and lifestyle,55.73,6.0,2019-02-24,10:55:00,Ewallet,7.0,0.33,334.38,110.3454,24,2,2019
63,WALM037,League City,Sports and travel,55.07,9.0,2019-03-02,13:40:00,Ewallet,10.0,0.48,495.63,237.9024,2,3,2019
64,WALM069,Rockwall,Sports and travel,15.81,10.0,2019-06-03,12:27:00,Credit card,8.6,0.33,158.1,52.173,3,6,2019
65,WALM087,Waxahachie,Health and beauty,75.74,4.0,2019-02-14,14:35:00,Cash,7.6,0.33,302.96,99.9768,14,2,2019
66,WALM042,Bryan,Health and beauty,15.87,10.0,2019-03-13,16:40:00,Cash,5.8,0.48,158.7,76.17599999999999,13,3,2019
67,WALM020,Killeen,Health and beauty,33.47,2.0,2019-10-02,15:43:00,Ewallet,6.7,0.48,66.94,32.1312,2,10,2019
68,WALM029,Round Rock,Fashion accessories,97.61,6.0,2019-07-01,15:01:00,Ewallet,9.9,0.48,585.66,281.11679999999996,1,7,2019
69,WALM079,La Porte,Sports and travel,78.77,10.0,2019-01-24,10:04:00,Cash,6.4,0.33,787.6999999999999,259.941,24,1,2019
70,WALM035,San Angelo,Health and beauty,18.33,1.0,2019-02-02,18:50:00,Cash,4.3,0.48,18.33,8.798399999999999,2,2,2019
71,WALM007,Arlington,Food and beverages,89.48,10.0,2019-06-01,12:46:00,Credit card,9.6,0.48,894.8000000000001,429.504,1,6,2019
72,WALM017,McKinney,Fashion accessories,62.12,10.0,2019-11-02,16:19:00,Cash,5.9,0.48,621.1999999999999,298.17599999999993,2,11,2019
73,WALM096,Eagle Pass,Food and beverages,48.52,3.0,2019-05-03,18:17:00,Ewallet,4.0,0.18,145.56,26.2008,3,5,2019
74,WALM083,Farmers Branch,Electronic accessories,75.91,6.0,2019-09-03,18:21:00,Cash,8.7,0.33,455.46,150.30180000000001,3,9,2019
75,WALM072,Lancaster,Home and lifestyle,74.67,9.0,2019-01-22,10:55:00,Ewallet,9.4,0.33,672.03,221.7699,22,1,2019
76,WALM003,San Antonio,Electronic accessories,41.65,10.0,2019-01-13,17:04:00,Credit card,5.4,0.48,416.5,199.92,13,1,2019
77,WALM058,Port Arthur,Fashion accessories,49.04,9.0,2019-09-01,14:20:00,Credit card,8.6,0.33,441.36,145.64880000000002,1,9,2019
78,WALM094,Alamo,Fashion accessories,20.01,9.0,2019-12-01,15:48:00,Credit card,5.7,0.33,180.09,59.429700000000004,1,12,2019
79,WALM063,Georgetown,Food and beverages,78.31,10.0,2019-05-03,16:24:00,Ewallet,6.6,0.33,783.1,258.423,3,5,2019
80,WALM071,Lufkin,Health and beauty,20.38,5.0,2019-01-22,18:56:00,Cash,6.0,0.33,101.89999999999999,33.626999999999995,22,1,2019
81,WALM061,Cedar Park,Health and beauty,99.19,6.0,2019-01-21,14:42:00,Credit card,5.5,0.33,595.14,196.3962,21,1,2019
82,WALM090,Brownwood,Food and beverages,96.68,3.0,2019-01-26,19:56:00,Ewallet,6.4,0.33,290.04,95.71320000000001,26,1,2019
83,WALM061,Cedar Park,Food and beverages,19.25,8.0,2019-01-23,18:37:00,Ewallet,6.6,0.33,154.0,50.82,23,1,2019
84,WALM041,Mission,Food and beverages,80.36,4.0,2019-02-23,18:45:00,Ewallet,8.3,0.48,321.44,154.2912,23,2,2019
85,WALM097,Alice,Sports and travel,48.91,5.0,2019-09-03,10:17:00,Cash,6.6,0.18,244.54999999999998,44.019,3,9,2019
86,WALM043,Baytown,Sports and travel,83.06,7.0,2019-05-03,14:31:00,Ewallet,4.0,0.48,581.4200000000001,279.08160000000004,3,5,2019
87,WALM042,Bryan,Fashion accessories,76.52,5.0,2019-03-25,10:23:00,Cash,9.9,0.48,382.59999999999997,183.64799999999997,25,3,2019
88,WALM046,Temple,Food and beverages,49.38,7.0,2019-03-27,20:35:00,Credit card,7.3,0.48,345.66,165.9168,27,3,2019
89,WALM011,Lubbock,Sports and travel,42.47,1.0,2019-02-01,16:57:00,Cash,5.7,0.48,42.47,20.3856,1,2,2019
90,WALM064,Bedford,Health and beauty,76.99,6.0,2019-02-27,17:55:00,Cash,6.1,0.33,461.93999999999994,152.44019999999998,27,2,2019
91,WALM095,Big Spring,Home and lifestyle,47.38,4.0,2019-01-23,10:25:00,Cash,7.1,0.33,189.52,62.54160000000001,23,1,2019
92,WALM049,North Richland Hills,Sports and travel,44.86,10.0,2019-01-26,19:54:00,Ewallet,8.2,0.48,448.6,215.328,26,1,2019
93,WALM040,Edinburg,Sports and travel,21.98,7.0,2019-10-01,16:42:00,Ewallet,5.1,0.48,153.86,73.8528,1,10,2019
94,WALM065,Texas City,Health and beauty,64.36,9.0,2019-12-03,12:09:00,Credit card,8.6,0.33,579.24,191.1492,3,12,2019
95,WALM075,San Marcos,Health and beauty,89.75,1.0,2019-06-02,20:05:00,Credit card,6.6,0.33,89.75,29.6175,2,6,2019
96,WALM034,College Station,Electronic accessories,97.16,1.0,2019-08-03,20:38:00,Ewallet,7.2,0.48,97.16,46.636799999999994,3,8,2019
97,WALM014,Amarillo,Health and beauty,87.87,10.0,2019-03-29,10:25:00,Ewallet,5.1,0.48,878.7,421.776,29,3,2019
98,WALM096,Eagle Pass,Electronic accessories,12.45,6.0,2019-09-02,13:11:00,Cash,4.1,0.18,74.69999999999999,13.445999999999998,2,9,2019
99,WALM004,Austin,Food and beverages,52.75,3.0,2019-03-23,10:16:00,Ewallet,9.3,0.48,158.25,75.96,23,3,2019
100,WALM011,Lubbock,Home and lifestyle,82.7,6.0,2019-05-03,18:14:00,Cash,7.4,0.48,496.20000000000005,238.17600000000002,3,5,2019
101,WALM075,San Marcos,Fashion accessories,48.71,1.0,2019-03-26,19:20:00,Cash,4.1,0.33,48.71,16.0743,26,3,2019
102,WALM057,Euless,Fashion accessories,78.55,9.0,2019-01-03,13:22:00,Cash,7.2,0.33,706.9499999999999,233.2935,3,1,2019
103,WALM023,Midland,Electronic accessories,23.07,9.0,2019-01-02,11:27:00,Cash,4.9,0.48,207.63,99.66239999999999,2,1,2019
104,WALM012,Garland,Food and beverages,58.26,6.0,2019-03-28,16:44:00,Cash,9.9,0.48,349.56,167.7888,28,3,2019
105,WALM078,Del Rio,Health and beauty,30.35,7.0,2019-03-19,18:19:00,Cash,8.0,0.33,212.45000000000002,70.1085,19,3,2019
106,WALM055,Waxahachie,Electronic accessories,88.67,10.0,2019-12-01,14:50:00,Ewallet,7.3,0.33,886.7,292.61100000000005,1,12,2019
107,WALM038,Sugar Land,Fashion accessories,27.38,6.0,2019-05-01,20:54:00,Credit card,7.9,0.48,164.28,78.8544,1,5,2019
108,WALM049,North Richland Hills,Sports and travel,62.13,6.0,2019-03-22,20:19:00,Cash,7.4,0.48,372.78000000000003,178.9344,22,3,2019
109,WALM044,Pharr,Food and beverages,33.98,9.0,2019-03-24,10:43:00,Cash,4.2,0.48,305.82,146.7936,24,3,2019
110,WALM056,Rowlett,Electronic accessories,81.97,10.0,2019-03-03,14:30:00,Cash,9.2,0.33,819.7,270.50100000000003,3,3,2019
111,WALM007,Arlington,Sports and travel,16.49,2.0,2019-05-02,11:32:00,Ewallet,4.6,0.48,32.98,15.830399999999997,2,5,2019
112,WALM025,Waco,Health and beauty,98.21,3.0,2019-05-02,10:41:00,Credit card,7.8,0.48,294.63,141.42239999999998,2,5,2019
113,WALM005,Fort Worth,Fashion accessories,72.84,7.0,2019-02-15,12:44:00,Cash,8.4,0.48,509.88,244.74239999999998,15,2,2019
114,WALM024,Carrollton,Home and lifestyle,58.07,9.0,2019-01-19,20:07:00,Ewallet,4.3,0.48,522.63,250.86239999999998,19,1,2019
115,WALM003,San Antonio,Home and lifestyle,80.79,9.0,2019-01-02,20:31:00,Credit card,9.5,0.36,727.11,261.7596,2,1,2019
116,WALM087,Waxahachie,Fashion accessories,27.02,3.0,2019-02-03,13:01:00,Credit card,7.1,0.33,81.06,26.7498,3,2,2019
117,WALM040,Edinburg,Fashion accessories,21.94,5.0,2019-05-03,12:29:00,Ewallet,5.3,0.48,109.7,52.656,3,5,2019
118,WALM071,Lufkin,Fashion accessories,51.36,1.0,2019-01-16,15:26:00,Ewallet,5.2,0.33,51.36,16.948800000000002,16,1,2019
119,WALM027,Abilene,Food and beverages,10.96,10.0,2019-02-02,20:48:00,Ewallet,6.0,0.48,109.60000000000001,52.608000000000004,2,2,2019
120,WALM071,Lufkin,Home and lifestyle,53.44,2.0,2019-01-20,20:38:00,Ewallet,4.1,0.33,106.88,35.2704,20,1,2019
121,WALM014,Amarillo,Electronic accessories,99.56,8.0,2019-02-14,17:03:00,Credit card,5.2,0.48,796.48,382.3104,14,2,2019
122,WALM069,Rockwall,Sports and travel,57.12,7.0,2019-12-01,12:02:00,Credit card,6.5,0.33,399.84,131.9472,1,12,2019
123,WALM085,Kerrville,Sports and travel,99.96,9.0,2019-09-03,17:26:00,Credit card,4.2,0.33,899.64,296.88120000000004,3,9,2019
124,WALM061,Cedar Park,Home and lifestyle,63.91,8.0,2019-03-13,19:52:00,Credit card,4.6,0.33,511.28,168.7224,13,3,2019
125,WALM088,Cleburne,Fashion accessories,56.47,8.0,2019-09-03,14:57:00,Ewallet,7.3,0.33,451.76,149.0808,3,9,2019
126,WALM034,College Station,Home and lifestyle,93.69,7.0,2019-10-03,18:44:00,Credit card,4.5,0.48,655.8299999999999,314.79839999999996,3,10,2019
127,WALM016,Brownsville,Sports and travel,32.25,5.0,2019-01-27,13:26:00,Cash,9.0,0.48,161.25,77.39999999999999,27,1,2019
128,WALM044,Pharr,Fashion accessories,31.73,9.0,2019-08-01,16:17:00,Credit card,5.9,0.48,285.57,137.0736,1,8,2019
129,WALM035,San Angelo,Food and beverages,68.54,8.0,2019-08-01,15:57:00,Ewallet,8.5,0.48,548.32,263.1936,1,8,2019
130,WALM018,Frisco,Sports and travel,90.28,9.0,2019-08-02,11:15:00,Ewallet,7.2,0.48,812.52,390.0096,2,8,2019
131,WALM022,Mesquite,Fashion accessories,39.62,7.0,2019-01-25,13:18:00,Cash,7.5,0.48,277.34,133.1232,25,1,2019
132,WALM068,Burleson,Sports and travel,92.13,6.0,2019-06-03,20:34:00,Cash,8.3,0.33,552.78,182.4174,3,6,2019
133,WALM055,Waxahachie,Sports and travel,34.84,4.0,2019-10-02,18:36:00,Cash,7.4,0.33,139.36,45.988800000000005,2,10,2019
134,WALM002,Dallas,Electronic accessories,87.45,6.0,2019-02-17,14:40:00,Credit card,8.8,0.36,524.7,188.892,17,2,2019
135,WALM062,Galveston,Health and beauty,81.3,6.0,2019-08-03,16:43:00,Ewallet,5.3,0.33,487.79999999999995,160.974,3,8,2019
136,WALM098,Mineral Wells,Fashion accessories,90.22,3.0,2019-02-18,19:39:00,Cash,6.2,0.18,270.65999999999997,48.718799999999995,18,2,2019
137,WALM027,Abilene,Electronic accessories,26.31,5.0,2019-01-18,20:59:00,Credit card,8.8,0.48,131.54999999999998,63.14399999999999,18,1,2019
138,WALM093,Angleton,Home and lifestyle,34.42,6.0,2019-02-18,15:39:00,Cash,9.8,0.33,206.52,68.1516,18,2,2019
139,WALM029,Round Rock,Sports and travel,51.91,10.0,2019-02-16,12:21:00,Cash,8.2,0.48,519.0999999999999,249.16799999999995,16,2,2019
140,WALM016,Brownsville,Sports and travel,72.5,8.0,2019-03-16,19:25:00,Ewallet,9.2,0.48,580.0,278.4,16,3,2019
141,WALM023,Midland,Sports and travel,89.8,10.0,2019-01-23,13:00:00,Credit card,5.4,0.48,898.0,431.03999999999996,23,1,2019
142,WALM012,Garland,Health and beauty,90.5,10.0,2019-01-25,13:48:00,Cash,8.1,0.48,905.0,434.4,25,1,2019
143,WALM052,Mansfield,Health and beauty,68.6,10.0,2019-05-02,19:57:00,Cash,9.1,0.57,686.0,391.02,2,5,2019
144,WALM097,Alice,Food and beverages,30.41,1.0,2019-02-22,10:36:00,Credit card,8.4,0.18,30.41,5.4738,22,2,2019
145,WALM045,Missouri City,Home and lifestyle,77.95,6.0,2019-01-21,16:37:00,Credit card,8.0,0.48,467.70000000000005,224.496,21,1,2019
146,WALM047,Flower Mound,Health and beauty,46.26,6.0,2019-08-03,17:11:00,Credit card,9.5,0.48,277.56,133.2288,3,8,2019
147,WALM026,Denton,Fashion accessories,30.14,10.0,2019-10-02,12:28:00,Ewallet,9.2,0.48,301.4,144.672,2,10,2019
148,WALM054,Sherman,Health and beauty,66.14,4.0,2019-03-19,12:46:00,Credit card,5.6,0.21,264.56,55.5576,19,3,2019
149,WALM049,North Richland Hills,Home and lifestyle,71.86,8.0,2019-06-03,15:07:00,Credit card,6.2,0.48,574.88,275.94239999999996,3,6,2019
150,WALM065,Texas City,Health and beauty,32.46,8.0,2019-03-27,13:48:00,Credit card,4.9,0.33,259.68,85.6944,27,3,2019
151,WALM016,Brownsville,Fashion accessories,91.54,4.0,2019-03-23,19:20:00,Credit card,4.8,0.48,366.16,175.7568,23,3,2019
152,WALM070,Hurst,Sports and travel,34.56,7.0,2019-11-03,16:07:00,Credit card,7.3,0.33,241.92000000000002,79.8336,3,11,2019
153,WALM099,Weatherford,Fashion accessories,83.24,9.0,2019-01-29,11:56:00,Credit card,7.4,0.18,749.16,134.84879999999998,29,1,2019
154,WALM071,Lufkin,Food and beverages,16.48,6.0,2019-07-02,18:23:00,Ewallet,9.9,0.33,98.88,32.6304,2,7,2019
155,WALM078,Del Rio,Sports and travel,80.97,8.0,2019-01-28,13:05:00,Cash,9.3,0.33,647.76,213.76080000000002,28,1,2019
156,WALM074,Weslaco,Food and beverages,92.29,5.0,2019-02-20,15:55:00,Cash,9.0,0.33,461.45000000000005,152.2785,20,2,2019
157,WALM042,Bryan,Electronic accessories,72.17,1.0,2019-04-01,19:40:00,Cash,6.1,0.48,72.17,34.6416,1,4,2019
158,WALM013,Irving,Home and lifestyle,50.28,5.0,2019-07-03,13:58:00,Ewallet,9.7,0.48,251.4,120.672,3,7,2019
159,WALM100,Canyon,Health and beauty,97.22,9.0,2019-03-30,14:43:00,Ewallet,6.0,0.18,874.98,157.4964,30,3,2019
160,WALM094,Alamo,Sports and travel,93.39,6.0,2019-03-27,19:18:00,Ewallet,10.0,0.33,560.34,184.9122,27,3,2019
161,WALM028,Odessa,Food and beverages,43.18,8.0,2019-01-19,19:39:00,Credit card,8.3,0.48,345.44,165.81119999999999,19,1,2019
162,WALM019,Pasadena,Sports and travel,63.69,1.0,2019-02-25,16:21:00,Cash,6.0,0.48,63.69,30.571199999999997,25,2,2019
163,WALM011,Lubbock,Food and beverages,45.79,7.0,2019-03-13,19:44:00,Credit card,7.0,0.48,320.53,153.85439999999997,13,3,2019
164,WALM084,Schertz,Sports and travel,76.4,2.0,2019-01-30,19:42:00,Ewallet,6.5,0.33,152.8,50.42400000000001,30,1,2019
165,WALM057,Euless,Food and beverages,39.9,10.0,2019-02-20,15:24:00,Credit card,5.9,0.33,399.0,131.67000000000002,20,2,2019
166,WALM088,Cleburne,Health and beauty,42.57,8.0,2019-02-25,14:12:00,Ewallet,5.6,0.33,340.56,112.38480000000001,25,2,2019
167,WALM061,Cedar Park,Home and lifestyle,95.58,10.0,2019-01-16,13:32:00,Cash,4.8,0.33,955.8,315.414,16,1,2019
168,WALM040,Edinburg,Fashion accessories,98.98,10.0,2019-08-02,16:20:00,Credit card,8.7,0.48,989.8000000000001,475.10400000000004,2,8,2019
169,WALM069,Rockwall,Food and beverages,51.28,6.0,2019-01-19,16:31:00,Cash,6.5,0.33,307.68,101.5344,19,1,2019
170,WALM089,Southlake,Sports and travel,69.52,7.0,2019-01-02,15:10:00,Credit card,8.5,0.33,486.64,160.59120000000001,2,1,2019
171,WALM031,Lewisville,Health and beauty,70.01,5.0,2019-03-01,11:36:00,Ewallet,5.5,0.48,350.05,168.024,1,3,2019
172,WALM039,Longview,Food and beverages,80.05,5.0,2019-01-26,12:45:00,Credit card,9.4,0.48,400.25,192.12,26,1,2019
173,WALM039,Longview,Electronic accessories,20.85,8.0,2019-03-03,19:17:00,Cash,6.3,0.48,166.8,80.06400000000001,3,3,2019
174,WALM047,Flower Mound,Electronic accessories,52.89,6.0,2019-01-19,17:34:00,Credit card,9.8,0.48,317.34000000000003,152.3232,19,1,2019
175,WALM071,Lufkin,Food and beverages,19.79,8.0,2019-01-18,12:04:00,Ewallet,8.7,0.33,158.32,52.2456,18,1,2019
176,WALM060,DeSoto,Home and lifestyle,33.84,9.0,2019-03-21,16:21:00,Ewallet,8.8,0.33,304.56000000000006,100.50480000000002,21,3,2019
177,WALM073,Seguin,Food and beverages,22.17,8.0,2019-03-03,17:01:00,Credit card,9.6,0.33,177.36,58.528800000000004,3,3,2019
178,WALM059,Pflugerville,Fashion accessories,22.51,7.0,2019-02-13,10:50:00,Credit card,4.8,0.33,157.57000000000002,51.99810000000001,13,2,2019
179,WALM012,Garland,Food and beverages,73.88,6.0,2019-03-23,19:16:00,Ewallet,4.4,0.48,443.28,212.77439999999999,23,3,2019
180,WALM086,Rosenberg,Health and beauty,86.8,3.0,2019-01-28,16:47:00,Ewallet,9.9,0.33,260.4,85.932,28,1,2019
181,WALM073,Seguin,Fashion accessories,64.26,7.0,2019-09-02,10:00:00,Cash,5.7,0.33,449.82000000000005,148.44060000000002,2,9,2019
182,WALM028,Odessa,Food and beverages,38.47,8.0,2019-01-23,11:51:00,Cash,7.7,0.48,307.76,147.7248,23,1,2019
183,WALM053,Conroe,Sports and travel,15.5,10.0,2019-03-23,10:55:00,Ewallet,8.0,0.57,155.0,88.35,23,3,2019
184,WALM024,Carrollton,Health and beauty,34.31,8.0,2019-01-25,15:00:00,Ewallet,5.7,0.48,274.48,131.7504,25,1,2019
185,WALM097,Alice,Sports and travel,12.34,7.0,2019-04-03,11:19:00,Credit card,6.7,0.18,86.38,15.548399999999999,3,4,2019
186,WALM072,Lancaster,Food and beverages,18.08,3.0,2019-05-03,19:46:00,Ewallet,8.0,0.33,54.239999999999995,17.8992,3,5,2019
187,WALM023,Midland,Home and lifestyle,94.49,8.0,2019-03-03,19:00:00,Ewallet,7.5,0.48,755.92,362.84159999999997,3,3,2019
188,WALM038,Sugar Land,Home and lifestyle,46.47,4.0,2019-08-02,10:53:00,Cash,7.0,0.48,185.88,89.2224,2,8,2019
189,WALM078,Del Rio,Home and lifestyle,74.07,1.0,2019-10-02,12:50:00,Ewallet,9.9,0.33,74.07,24.443099999999998,2,10,2019
190,WALM084,Schertz,Home and lifestyle,69.81,4.0,2019-01-28,20:50:00,Credit card,5.9,0.33,279.24,92.14920000000001,28,1,2019
191,WALM059,Pflugerville,Home and lifestyle,77.04,3.0,2019-11-02,10:39:00,Credit card,7.2,0.33,231.12,76.26960000000001,2,11,2019
192,WALM062,Galveston,Fashion accessories,73.52,2.0,2019-01-15,13:41:00,Ewallet,4.6,0.33,147.04,48.5232,15,1,2019
